Order Date,Sales,month,year,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6
2014-07-31,33946.393,7,2014,34595.1276,28295.345,14236.895,30729.935866666663,30116.00893333333
2014-08-31,27909.4685,8,2014,33946.393,23648.287,4519.892,32150.3297,34014.27168333333
2014-09-30,81777.3508,9,2014,27909.4685,34595.1276,55691.009,47877.73743333333,38361.99531666667
2014-10-31,31453.393,10,2014,81777.3508,33946.393,28295.345,47046.73743333333,38888.33665
2014-11-30,78628.7167,11,2014,31453.393,27909.4685,23648.287,63953.15349999999,48051.7416
2014-12-31,69545.6205,12,2014,78628.7167,81777.3508,34595.1276,59875.91006666666,53876.82375
2015-01-31,18174.0756,1,2015,69545.6205,31453.393,33946.393,55449.47093333333,51248.10418333334
2015-02-28,11951.411,2,2015,18174.0756,78628.7167,27909.4685,33223.702366666665,48588.427933333325
2015-03-31,38726.252,3,2015,11951.411,69545.6205,81777.3508,22950.579533333326,41413.24479999999
2015-04-30,34195.2085,4,2015,38726.252,18174.0756,31453.393,28290.95716666666,41870.214049999995
2015-05-31,30131.6865,5,2015,34195.2085,11951.411,78628.7167,34351.04899999999,33787.37568333333
2015-06-30,24797.292,6,2015,30131.6865,38726.252,69545.6205,29708.06233333333,26329.320933333333
2015-07-31,28765.325,7,2015,24797.292,34195.2085,18174.0756,27898.10116666666,28094.529166666664
2015-08-31,36898.3322,8,2015,28765.325,30131.6865,11951.411,30153.64973333333,32252.349366666665
2015-09-30,64595.918,9,2015,36898.3322,24797.292,38726.252,43419.8584,36563.960366666666
2015-10-31,31404.9235,10,2015,64595.918,28765.325,34195.2085,44299.724566666664,36098.91286666666
2015-11-30,75972.5635,11,2015,31404.9235,36898.3322,30131.6865,57324.46833333332,43739.05903333333
2015-12-31,74919.5212,12,2015,75972.5635,64595.918,24797.292,60765.66939999999,52092.7639
2016-01-31,18542.490999999998,1,2016,74919.5212,31404.9235,28765.325,56478.1919,50388.95823333333
2016-02-29,22978.815000000002,2,2016,18542.490999999998,75972.5635,36898.3322,38813.609066666664,48069.0387
2016-03-31,51715.875,3,2016,22978.815000000002,74919.5212,64595.918,31079.060333333327,45922.36486666667
2016-04-30,38750.039,4,2016,51715.875,18542.490999999998,31404.9235,37814.90966666667,47146.55078333333
2016-05-31,56987.728,5,2016,38750.039,22978.815000000002,75972.5635,49151.214,43982.41153333333
2016-06-30,40344.534,6,2016,56987.728,51715.875,74919.5212,45360.76699999999,38219.91366666667
2016-07-31,39261.963,7,2016,40344.534,38750.039,18542.490999999998,45531.40833333333,41673.15899999999
2016-08-31,31115.3743,8,2016,39261.963,56987.728,22978.815000000002,36907.290433333335,43029.25221666666
2016-09-30,73410.0249,9,2016,31115.3743,40344.534,51715.875,47929.12073333332,46644.94386666667
2016-10-31,59687.745,10,2016,73410.0249,39261.963,38750.039,54737.714733333334,50134.56153333333
2016-11-30,79411.9658,11,2016,59687.745,31115.3743,56987.728,70836.57856666668,53871.934499999996
2016-12-31,96999.043,12,2016,79411.9658,73410.0249,40344.534,78699.5846,63314.35266666667
2017-01-31,43971.374,1,2017,96999.043,59687.745,39261.963,73460.79426666668,64099.2545
2017-02-28,20301.1334,2,2017,43971.374,79411.9658,31115.3743,53757.18346666667,62296.88101666667
2017-03-31,58872.3528,3,2017,20301.1334,96999.043,73410.0249,41048.286733333334,59873.935666666664
2017-04-30,36521.5361,4,2017,58872.3528,43971.374,59687.745,38565.007433333325,56012.90085
2017-05-31,44261.1102,5,2017,36521.5361,20301.1334,79411.9658,46551.66636666667,50154.42491666666
2017-06-30,52981.7257,6,2017,44261.1102,58872.3528,96999.043,44588.124,42818.20536666666
2017-07-31,45264.416,7,2017,52981.7257,36521.5361,43971.374,47502.4173,43033.71236666666
2017-08-31,63120.888,8,2017,45264.416,44261.1102,20301.1334,53789.009900000005,50170.33813333333
2017-09-30,87866.652,9,2017,63120.888,52981.7257,58872.3528,65417.318666666666,55002.72133333333
2017-10-31,77776.9232,10,2017,87866.652,45264.416,36521.5361,76254.82106666667,61878.61918333333
2017-11-30,118447.825,11,2017,77776.9232,63120.888,44261.1102,94697.1334,74243.07165
2017-12-31,83829.3188,12,2017,118447.825,87866.652,52981.7257,93351.35566666668,79384.33716666665
